,daily_return
0,
1,-0.01349408326058199
2,0.007336975062831375
3,-0.0032339250170579925
4,0.029943098714248162
5,0.01116797366764577
6,-0.022404696249776368
7,-0.011416592447852758
8,0.004494560915219381
9,-0.008105318345440704
10,-0.002292930720691033
11,0.03148851553709142
12,0.053627888192301354
13,0.0023053556254462038
14,0.005181783914408378
15,-0.0008679542209210078
16,0.009392421602087753
17,-0.0450908345393457
18,0.017653551526647382
19,-0.01469048812597229
20,0.0357403475985647
21,0.013758663326369547
22,0.07396073580499052
23,-0.0037196572664700556
24,0.017276182638395365
25,-0.002426162006970878
26,-0.00449130767137329
27,0.005697055925452554
28,0.00024339728075495337
29,0.003922064261514535
30,0.008454783264014942
31,0.0030209512913024206
32,-0.005220154543279176
33,-0.007585518120223234
34,-0.0172573039490167
35,0.0028961610111817304
36,0.01173899403730827
37,-0.030455733378576322
38,0.002707545703204417
39,0.021921008186704505
40,-0.002723946485195361
41,-0.02366758751780773
42,0.011042589904069144
43,0.029012853814091688
44,-0.04001346597843125
45,0.014094619823023846
46,0.0011351284554128593
47,0.029070130062680777
48,-0.02499094330265028
49,0.002216414086158691
50,0.01259625230215744
51,-0.0006881374576156452
52,-0.026235297249384226
53,0.003427910819644664
54,-0.0022562575674096585
55,0.00704898746590521
56,-0.003848054757065178
57,-0.00034232405021339396
58,-0.004309386109375701
59,0.010021813197614193
60,-0.00019937844748674216
61,0.006368080164456558
62,0.033413477085386
63,0.041071242581277145
64,-0.00035948363800952787
65,0.01120572272867748
66,0.00700544532756342
67,0.009022504208856752
68,-0.013600821278390018
69,0.005534874756648822
70,-0.005482334055294746
71,0.01854669182233315
72,0.00047899893686897954
73,0.002019311224150888
74,-0.0038090774423341633
75,-0.00014816852210841613
76,-0.01106275994547612
77,0.020891446164445604
78,0.004941018945704423
79,-0.008432344451559715
80,0.03155006728067966
81,0.021000786716523834
82,-0.008136078696820759
83,-0.006203091375356906
84,-0.017084350258943948
85,0.0010576575276095568
86,0.010442436384094922
87,0.007281518062827397
88,-0.0237754902425783
89,-0.014049820887147346
90,-0.03018067332502805
91,0.010222900378486166
92,0.023956967646836302
93,0.0022666828713129306
94,-0.0077452846112870954
95,0.0022922465425785354
96,0.020522338342528368
97,-0.004664503403693732
98,0.026254667884020977
99,0.0009972894340679606
100,0.01015327916724229
101,-0.012746922847799325
102,0.0037669140987295346
103,0.007567715319784396
104,-0.003510574526887855
105,-0.006884755861898739
106,0.019608127820065713
107,0.005844812733677651
108,0.006796187149821664
109,0.003443544455451031
110,0.012121777513152132
111,-0.0030417852627599995
112,0.005214985213736423
113,-0.002524743120212669
114,-0.0026699279964024214
115,0.005366096351608007
116,-0.006358193222924524
117,0.0070679114061258375
118,0.0043058369212893854
119,-0.0042362410115766025
120,0.006488105959559176
121,-0.0022548319780461012
122,-0.0013819480690503427
123,-0.006315975094168813
124,-0.005574597449918839
125,0.008398787167635868
126,0.01860026962624417
127,0.008172857161824032
128,0.0023619017876292947
129,-0.006922799649285105
130,0.0030771542347607372
131,0.007636548525008946
132,0.003297181146660888
133,0.008305696291767362
134,-0.00617789064488472
135,0.004410810694190914
136,-0.01965551941928656
137,0.014293542194126374
138,0.011433881433001503
139,0.005490197450286782
140,0.03365746922045787
141,0.013267626150731182
142,-0.02039463177150891
143,-0.0030337212704668604
144,0.0011659117687810028
145,-0.009663849243451095
146,0.005683332334293523
147,0.00213621585133561
148,-0.001845475901325444
149,0.006700794322766157
150,0.0007010084127250238
151,0.0070492675522841886
152,0.0006847337543578469
153,-0.002947175627040499
154,0.0050839024767357355
155,0.00011925692351710815
156,0.003684793556660626
157,-0.011629350758290968
158,-0.00532048585763234
159,0.0025152366673240056
160,0.011127452912164326
161,0.019232575174201294
162,0.009206262445527802
163,0.003872944381555943
164,-0.005785253257257761
165,0.017080292948827402
166,0.006357599160990102
167,-5.152363529292714e-05
168,0.002612399692621281
169,-0.011128551480379278
170,0.0038552887065128605
171,0.005138968334484462
172,-0.0043671140707644
173,0.00020709662329720935
174,-0.02065028353221887
175,0.010879337026610925
176,-0.00041122629928747045
177,0.012551775563466316
178,-0.005733284372720693
179,-0.02015603686354628
180,-0.017294189420892225
181,0.004528166825646052
182,0.009251964253699008
183,0.006300623904244018
184,0.005686484065355879
185,-0.007936414881430487
186,-0.03757573697596617
187,-0.012211423735677629
188,-0.009333064729817542
189,0.023989682251071898
190,-0.019767317457863864
191,0.018031618642367242
192,0.008643177160928772
193,0.013334115413738301
194,0.006254299655606532
195,-0.008628750287186349
196,-0.015372960318652762
197,0.008682418698143568
198,0.025467726698468196
199,0.0018598173365016457
200,0.009073570120875285
201,0.006026133338980388
202,-0.009782888970860215
203,0.0025664636690077014
204,-0.029104150880355673
205,0.0010676144048693548
206,0.006478198468651941
207,0.04836692760749273
208,-0.002038541463723287
209,0.014654802550988721
210,-0.030326307089415305
211,0.014529758364050238
212,0.006355291952186759
213,0.012895927056191248
214,0.003753003564581636
215,0.0007404000532316157
216,-0.0006896678552089641
217,-0.017571349690837956
218,0.0008320289000585124
219,0.01974471609260542
220,-0.0017207007544441932
221,-0.002088517890988295
222,-9.392165574628741e-05
223,0.011049074047762453
224,-0.005019568557828147
225,-0.019166062430738817
226,-0.002185967232402608
227,-0.00026908254828739153
228,-0.026660070497802724
229,0.023164261093656213
230,-0.025062618742939913
231,-0.0058545795818698565
232,0.015241678401654468
233,-0.008735821546486333
234,0.00895310510352676
235,0.029486131736091714
236,0.0046204590526215394
237,-0.0041318430495544956
238,0.0038418032903084764
239,-0.013253711824239067
240,-0.01181973788888746
241,0.016541367565110265
242,-0.01716788039655326
243,-0.014053570239617286
244,-0.0028115757834689115
245,0.012773700571367064
246,0.018918971305111
247,0.001316823256102273
248,0.0062626131230072435
249,-0.010914222241605764
250,0.00038584581837830534
251,-0.003426529137787626
252,-0.009061475144276687
